ToolKitProtoRestrictionContext.CharacterTypedWith	1	parameterMode	singular	enum	ToolKit.ToolKitProtoRestrictionContext.CharacterTypedWith.ParameterMode		2
ToolKitProtoRestrictionContext.InInclusiveRange	1	lowerBound	singular_presence	double			512
ToolKitProtoRestrictionContext.InInclusiveRange	2	upperBound	singular_presence	double			511
ToolKitProtoRestrictionContext.InSet	1	definition	singular_presence	message	ToolKit.ToolKitProtoRestrictionContext.InSet.ValueSet		2865
ToolKitProtoRestrictionContext.InSet	2	templates	singular_presence	message	ToolKit.ToolKitProtoTypeDefinition.Version1.Query.PredicateTemplates		2865
ToolKitProtoRestrictionContext.InSet.ValueSet	1	bundleIdentifier	singular_presence	string			2750
ToolKitProtoRestrictionContext.InSet.ValueSet	2	dynamicEnumeration	singular_presence	message	ToolKit.ToolKitProtoRestrictionContext.InSet.ValueSet.DynamicEnumeration	0	817
ToolKitProtoRestrictionContext.InSet.ValueSet	3	contentPropertyPossibleValues	singular_presence	message	ToolKit.ToolKitProtoRestrictionContext.InSet.ValueSet.ContentPropertyPossibleValues	0	14
ToolKitProtoRestrictionContext.InSet.ValueSet	5	standaloneLinkQuery	singular_presence	string		0	663
ToolKitProtoRestrictionContext.InSet.ValueSet	6	linkQueryOnParameter	singular_presence	message	ToolKit.ToolKitProtoRestrictionContext.InSet.ValueSet.LinkQuery	0	1371
ToolKitProtoRestrictionContext.InSet.ValueSet.ContentPropertyPossibleValues	1	contentItemClass	singular_presence	message	ToolKit.ToolKitProtoContentItemClassDescriptor		14
ToolKitProtoRestrictionContext.InSet.ValueSet.ContentPropertyPossibleValues	2	propertyName	singular	string			14
ToolKitProtoRestrictionContext.InSet.ValueSet.DynamicEnumeration	1	toolIdentifier	singular	string			817
ToolKitProtoRestrictionContext.InSet.ValueSet.DynamicEnumeration	2	parameterKey	singular	string			817
ToolKitProtoRestrictionContext.InSet.ValueSet.LinkQuery	4	parameterKey	singular	string			1371
ToolKitProtoRestrictionContext.InSet.ValueSet.LinkQuery	5	queryIdentifier	singular	string			1371
ToolKitProtoRestrictionContext.InSet.ValueSet.LinkQuery	6	actionIdentifier	singular	string			1371
ToolKitProtoRestrictionContext.MeasurementExpressibleAs	1	unit	singular_presence	string			21
ToolKitProtoRestrictionContext.MeasurementExpressibleAs	3	supportsNegativeNumbers	singular	bool			1
ToolKitProtoRestrictionContext.RepresentableAs	1	typeIdentifiers	repeated	string			250
ToolKitProtoRestrictionContext.TextTypedWith	1	multilineAllowed	singular	bool			112
ToolKitProtoRestrictionContext.TextTypedWith	2	smartQuotesEnabled	singular	bool			33
ToolKitProtoRestrictionContext.TextTypedWith	3	smartDashesEnabled	singular	bool			33
ToolKitProtoRestrictionContext.TextTypedWith	4	keyboardType	singular	enum	ToolKit.ToolKitProtoRestrictionContext.TextTypedWith.KeyboardType		79
ToolKitProtoRestrictionContext.TextTypedWith	5	autocorrectionType	singular	enum	ToolKit.ToolKitProtoRestrictionContext.TextTypedWith.AutocorrectionType		156
ToolKitProtoRestrictionContext.TextTypedWith	6	capitalizationType	singular	enum	ToolKit.ToolKitProtoRestrictionContext.TextTypedWith.CapitalizationType		29
ToolKitProtoRuntimePlatformVersion	1	major	singular	int32			836
ToolKitProtoRuntimePlatformVersion	2	minor	singular	int32			232
ToolKitProtoRuntimePlatformVersion	4	isWildcard	singular	bool			688
ToolKitProtoRuntimeRequirement	1	platform	singular_presence	message	ToolKit.ToolKitProtoRuntimeRequirement.AvailabilityAnnotation	0	7504
ToolKitProtoRuntimeRequirement	2	deviceCapability	singular_presence	message	ToolKit.ToolKitProtoRuntimeRequirement.DeviceCapability	0	19
ToolKitProtoRuntimeRequirement	3	featureFlag	singular_presence	message	ToolKit.ToolKitProtoRuntimeRequirement.FeatureFlag	0	66
ToolKitProtoRuntimeRequirement	4	deviceState	singular_presence	enum	ToolKit.ToolKitProtoRuntimeRequirement.DeviceState	0	126
ToolKitProtoRuntimeRequirement.AvailabilityAnnotation	1	platform	singular	enum	ToolKit.ToolKitProtoRuntimePlatform		7504
ToolKitProtoRuntimeRequirement.AvailabilityAnnotation	2	introducingVersion	singular_presence	message	ToolKit.ToolKitProtoRuntimePlatformVersion		1249
ToolKitProtoRuntimeRequirement.AvailabilityAnnotation	3	deprecatingVersion	singular_presence	message	ToolKit.ToolKitProtoRuntimePlatformVersion		54
ToolKitProtoRuntimeRequirement.AvailabilityAnnotation	4	obsoletingVersion	singular_presence	message	ToolKit.ToolKitProtoRuntimePlatformVersion		221
ToolKitProtoRuntimeRequirement.DeviceCapability	1	mobileGestalt	singular_presence	message	ToolKit.ToolKitProtoRuntimeRequirement.DeviceCapability.MobileGestalt	0	8
