296c9cfa8	_$s7ToolKit22TriggerDefinitionQueryV10pythonNameAA08CompoundaB14PropertyFilterOySSGvg	ToolKit.TriggerDefinitionQuery.pythonName.getter : ToolKit.CompoundToolKitPropertyFilter<Swift.String>
296c9cfb0	_$s7ToolKit22TriggerDefinitionQueryV10pythonNameAA08CompoundaB14PropertyFilterOySSGvs	ToolKit.TriggerDefinitionQuery.pythonName.setter : ToolKit.CompoundToolKitPropertyFilter<Swift.String>
296c9cfe0	_$s7ToolKit22TriggerDefinitionQueryV10pythonNameAA08CompoundaB14PropertyFilterOySSGvM	ToolKit.TriggerDefinitionQuery.pythonName.modify : ToolKit.CompoundToolKitPropertyFilter<Swift.String>
296c9d000	_$s7ToolKit22TriggerDefinitionQueryV16debugDescriptionSSvg	ToolKit.TriggerDefinitionQuery.debugDescription.getter : Swift.String
296c9d1b8	_$s7ToolKit22TriggerDefinitionQueryVMa	type metadata accessor for ToolKit.TriggerDefinitionQuery
296cc71e8	_$s7ToolKit06DirectA16MetadataProviderC4tool8matching6localeAA0A10DefinitionVSgAA0aI5QueryV_10Foundation6LocaleVtKF	ToolKit.DirectToolMetadataProvider.tool(matching: ToolKit.ToolDefinitionQuery, locale: Foundation.Locale) throws -> ToolKit.ToolDefinition?
296cc7240	_$s7ToolKit06DirectA16MetadataProviderC5tools8matching6locale5scopeSayAA0A10DefinitionVGAA0aJ5QueryV_10Foundation6LocaleVAA0aB20DatabaseRequestScopeOtKF	ToolKit.DirectToolMetadataProvider.tools(matching: ToolKit.ToolDefinitionQuery, locale: Foundation.Locale, scope: ToolKit.ToolKitDatabaseRequestScope) throws -> [ToolKit.ToolDefinition]
296cc7348	_$s7ToolKit06DirectA16MetadataProviderC5tools8matching13localeOptions5scopeSayAA0A10DefinitionVGAA0aK5QueryV_AA0a14DatabaseLocaleI0VAA0abM12RequestScopeOtKF	ToolKit.DirectToolMetadataProvider.tools(matching: ToolKit.ToolDefinitionQuery, localeOptions: ToolKit.ToolDatabaseLocaleOptions, scope: ToolKit.ToolKitDatabaseRequestScope) throws -> [ToolKit.ToolDefinition]
296cc73b0	_$s7ToolKit06DirectA16MetadataProviderC5count4over13localeOptionsSiAA0A15DefinitionQueryV_AA0a14DatabaseLocaleI0VtKF	ToolKit.DirectToolMetadataProvider.count(over: ToolKit.ToolDefinitionQuery, localeOptions: ToolKit.ToolDatabaseLocaleOptions) throws -> Swift.Int
296cde3b4	_$s7ToolKit0A17MetadataProvidingPAAE4tool8matchingAA0A10DefinitionVSgAA0aG5QueryV_tKF	(extension in ToolKit):ToolKit.ToolMetadataProviding.tool(matching: ToolKit.ToolDefinitionQuery) throws -> ToolKit.ToolDefinition?
296cde4ac	_$s7ToolKit0A17MetadataProvidingPAAE5tools8matchingSayAA0A10DefinitionVGAA0aG5QueryV_tKF	(extension in ToolKit):ToolKit.ToolMetadataProviding.tools(matching: ToolKit.ToolDefinitionQuery) throws -> [ToolKit.ToolDefinition]
296cde9d4	_$s7ToolKit0A17MetadataProvidingP4tool8matching6localeAA0A10DefinitionVSgAA0aH5QueryV_10Foundation6LocaleVtKFTj	dispatch thunk of ToolKit.ToolMetadataProviding.tool(matching: ToolKit.ToolDefinitionQuery, locale: Foundation.Locale) throws -> ToolKit.ToolDefinition?
296cde9fc	_$s7ToolKit0A17MetadataProvidingP5tools8matching6locale5scopeSayAA0A10DefinitionVGAA0aI5QueryV_10Foundation6LocaleVAA0aB20DatabaseRequestScopeOtKFTj	dispatch thunk of ToolKit.ToolMetadataProviding.tools(matching: ToolKit.ToolDefinitionQuery, locale: Foundation.Locale, scope: ToolKit.ToolKitDatabaseRequestScope) throws -> [ToolKit.ToolDefinition]
296cdea24	_$s7ToolKit0A17MetadataProvidingP5tools8matching13localeOptions5scopeSayAA0A10DefinitionVGAA0aJ5QueryV_AA0a14DatabaseLocaleH0VAA0abL12RequestScopeOtKFTj	dispatch thunk of ToolKit.ToolMetadataProviding.tools(matching: ToolKit.ToolDefinitionQuery, localeOptions: ToolKit.ToolDatabaseLocaleOptions, scope: ToolKit.ToolKitDatabaseRequestScope) throws -> [ToolKit.ToolDefinition]
296cdea4c	_$s7ToolKit0A17MetadataProvidingP5count4over13localeOptionsSiAA0A15DefinitionQueryV_AA0a14DatabaseLocaleH0VtKFTj	dispatch thunk of ToolKit.ToolMetadataProviding.count(over: ToolKit.ToolDefinitionQuery, localeOptions: ToolKit.ToolDatabaseLocaleOptions) throws -> Swift.Int
296cdeeb0	_$s7ToolKit0A22MetadataProviderClientC4tool8matching6localeAA0A10DefinitionVSgAA0aI5QueryV_10Foundation6LocaleVtKF	ToolKit.ToolMetadataProviderClient.tool(matching: ToolKit.ToolDefinitionQuery, locale: Foundation.Locale) throws -> ToolKit.ToolDefinition?
296cdf35c	_$s7ToolKit0A22MetadataProviderClientC5tools8matching6locale5scopeSayAA0A10DefinitionVGAA0aJ5QueryV_10Foundation6LocaleVAA0aB20DatabaseRequestScopeOtKF	ToolKit.ToolMetadataProviderClient.tools(matching: ToolKit.ToolDefinitionQuery, locale: Foundation.Locale, scope: ToolKit.ToolKitDatabaseRequestScope) throws -> [ToolKit.ToolDefinition]
296cdf470	_$s7ToolKit0A22MetadataProviderClientC5tools8matching13localeOptions5scopeSayAA0A10DefinitionVGAA0aK5QueryV_AA0a14DatabaseLocaleI0VAA0abM12RequestScopeOtKF	ToolKit.ToolMetadataProviderClient.tools(matching: ToolKit.ToolDefinitionQuery, localeOptions: ToolKit.ToolDatabaseLocaleOptions, scope: ToolKit.ToolKitDatabaseRequestScope) throws -> [ToolKit.ToolDefinition]
296cdf744	_$s7ToolKit0A22MetadataProviderClientC5count4over13localeOptionsSiAA0A15DefinitionQueryV_AA0a14DatabaseLocaleI0VtKF	ToolKit.ToolMetadataProviderClient.count(over: ToolKit.ToolDefinitionQuery, localeOptions: ToolKit.ToolDatabaseLocaleOptions) throws -> Swift.Int
296d32cc0	_$s7ToolKit0A8DatabaseC7iterate4over5scope6locale5blockyAA0A15DefinitionQueryV_AA0abC12RequestScopeO10Foundation6LocaleVyAA0aI0VKctYaKFTu	async function pointer to ToolKit.ToolDatabase.iterate(over: ToolKit.ToolDefinitionQuery, scope: ToolKit.ToolKitDatabaseRequestScope, locale: Foundation.Locale, block: (ToolKit.ToolDefinition) throws -> ()) async throws -> ()
296d3c7b8	_$s7ToolKit0A15DefinitionQueryVAA0ab8DatabaseD0AAMc	protocol conformance descriptor for ToolKit.ToolDefinitionQuery : ToolKit.ToolKitDatabaseQuery in ToolKit
296d3c7d4	_$s7ToolKit0A15DefinitionQueryVs28CustomDebugStringConvertibleAAMc	protocol conformance descriptor for ToolKit.ToolDefinitionQuery : Swift.CustomDebugStringConvertible in ToolKit
296d3c7d4	ToolKit::ToolKit::ToolDefinitionQuery->Swift::CustomDebugStringConvertible	ToolKit::ToolKit::ToolDefinitionQuery->Swift::CustomDebugStringConvertible
296d3c7fc	_$s7ToolKit0A15DefinitionQueryVSeAAMc	protocol conformance descriptor for ToolKit.ToolDefinitionQuery : Swift.Decodable in ToolKit
296d3c7fc	ToolKit::ToolKit::ToolDefinitionQuery->Swift::Decodable	ToolKit::ToolKit::ToolDefinitionQuery->Swift::Decodable
296d3c824	_$s7ToolKit0A15DefinitionQueryVSEAAMc	protocol conformance descriptor for ToolKit.ToolDefinitionQuery : Swift.Encodable in ToolKit
296d3c824	ToolKit::ToolKit::ToolDefinitionQuery->Swift::Encodable	ToolKit::ToolKit::ToolDefinitionQuery->Swift::Encodable
296d3cbe8	_$s7ToolKit0A15DefinitionQueryV5rowIDAA08CompoundaB14PropertyFilterOys6UInt64VGvpMV	property descriptor for ToolKit.ToolDefinitionQuery.rowID : ToolKit.CompoundToolKitPropertyFilter<Swift.UInt64>
296d3cbe8	$$property_descriptor_for_ToolKit.ToolDefinitionQuery.rowID_:_ToolKit.CompoundToolKitPropertyFilter<Swift.UInt64>	$$property_descriptor_for_ToolKit.ToolDefinitionQuery.rowID_:_ToolKit.CompoundToolKitPropertyFilter<Swift.UInt64>
296d3cbec	_$s7ToolKit0A15DefinitionQueryV6toolIDAA08CompoundaB14PropertyFilterOySSGvpMV	property descriptor for ToolKit.ToolDefinitionQuery.toolID : ToolKit.CompoundToolKitPropertyFilter<Swift.String>
296d3cbec	$$property_descriptor_for_ToolKit.ToolDefinitionQuery.toolID_:_ToolKit.CompoundToolKitPropertyFilter<Swift.String>	$$property_descriptor_for_ToolKit.ToolDefinitionQuery.toolID_:_ToolKit.CompoundToolKitPropertyFilter<Swift.String>
296d3cbf0	_$s7ToolKit0A15DefinitionQueryV4typeAA08CompoundaB14PropertyFilterOyAA0a4TypeC0OGvpMV	property descriptor for ToolKit.ToolDefinitionQuery.type : ToolKit.CompoundToolKitPropertyFilter<ToolKit.ToolTypeDefinition>
296d3cbf4	_$s7ToolKit0A15DefinitionQueryV5inputAA0A15InputTypeFilterVvpMV	property descriptor for ToolKit.ToolDefinitionQuery.input : ToolKit.ToolInputTypeFilter
296d3cbf8	_$s7ToolKit0A15DefinitionQueryV6outputAA0A16OutputTypeFilterVvpMV	property descriptor for ToolKit.ToolDefinitionQuery.output : ToolKit.ToolOutputTypeFilter
296d3cbfc	_$s7ToolKit0A15DefinitionQueryV15sourceContainerAA08CompoundaB14PropertyFilterOyAA0fC0VGvpMV	property descriptor for ToolKit.ToolDefinitionQuery.sourceContainer : ToolKit.CompoundToolKitPropertyFilter<ToolKit.ContainerDefinition>
296d3cc00	_$s7ToolKit0A15DefinitionQueryV20attributionContainerAA08CompoundaB14PropertyFilterOyAA0fC0VGvpMV	property descriptor for ToolKit.ToolDefinitionQuery.attributionContainer : ToolKit.CompoundToolKitPropertyFilter<ToolKit.ContainerDefinition>
296d3cc04	_$s7ToolKit0A15DefinitionQueryV12sourceDeviceAA08CompoundaB14PropertyFilterOyAA09ContainerC0V0F0OGvpMV	property descriptor for ToolKit.ToolDefinitionQuery.sourceDevice : ToolKit.CompoundToolKitPropertyFilter<ToolKit.ContainerDefinition.Device>
296d3cc08	_$s7ToolKit0A15DefinitionQueryV14systemProtocolAA06SystemaF6FilterOvpMV	property descriptor for ToolKit.ToolDefinitionQuery.systemProtocol : ToolKit.SystemToolProtocolFilter
296d3cc0c	_$s7ToolKit0A15DefinitionQueryV16assistantVersionAA015AssistantSchemaF5RangeVSgvpMV	property descriptor for ToolKit.ToolDefinitionQuery.assistantVersion : ToolKit.AssistantSchemaVersionRange?
296d3cc10	_$s7ToolKit0A15DefinitionQueryV10visibilityAA0A16VisibilityFilterVvpMV	property descriptor for ToolKit.ToolDefinitionQuery.visibility : ToolKit.ToolVisibilityFilter
296d3cc14	_$s7ToolKit0A15DefinitionQueryV23cascadeSharedIdentifierAA08CompoundaB14PropertyFilterOySSGvpMV	property descriptor for ToolKit.ToolDefinitionQuery.cascadeSharedIdentifier : ToolKit.CompoundToolKitPropertyFilter<Swift.String>
296d3cc14	$$property_descriptor_for_ToolKit.ToolDefinitionQuery.cascadeSharedIdentifier_:_ToolKit.CompoundToolKitPropertyFilter<Swift.String>	$$property_descriptor_for_ToolKit.ToolDefinitionQuery.cascadeSharedIdentifier_:_ToolKit.CompoundToolKitPropertyFilter<Swift.String>
296d3cc18	_$s7ToolKit0A15DefinitionQueryV28fullyQualifiedLinkIdentifierAA05FullyfgH6FilterVvpMV	property descriptor for ToolKit.ToolDefinitionQuery.fullyQualifiedLinkIdentifier : ToolKit.FullyQualifiedLinkIdentifierFilter
296d3cc1c	_$s7ToolKit0A15DefinitionQueryV10pythonNameAA08CompoundaB14PropertyFilterOySSGvpMV	property descriptor for ToolKit.ToolDefinitionQuery.pythonName : ToolKit.CompoundToolKitPropertyFilter<Swift.String>
296d3cc1c	$$property_descriptor_for_ToolKit.ToolDefinitionQuery.pythonName_:_ToolKit.CompoundToolKitPropertyFilter<Swift.String>	$$property_descriptor_for_ToolKit.ToolDefinitionQuery.pythonName_:_ToolKit.CompoundToolKitPropertyFilter<Swift.String>
296d3cc20	_$s7ToolKit0A15DefinitionQueryV25requiresInMemoryFilteringSbvpMV	property descriptor for ToolKit.ToolDefinitionQuery.requiresInMemoryFiltering : Swift.Bool
296d3cc20	_$s7ToolKit0A15DefinitionQueryV16debugDescriptionSSvpMV	property descriptor for ToolKit.ToolDefinitionQuery.debugDescription : Swift.String
296d5f700	_$s7ToolKit22TriggerDefinitionQueryVAA0ab8DatabaseE0AAMc	protocol conformance descriptor for ToolKit.TriggerDefinitionQuery : ToolKit.ToolKitDatabaseQuery in ToolKit
296d5f71c	_$s7ToolKit22TriggerDefinitionQueryVs28CustomDebugStringConvertibleAAMc	protocol conformance descriptor for ToolKit.TriggerDefinitionQuery : Swift.CustomDebugStringConvertible in ToolKit
296d5f71c	ToolKit::ToolKit::TriggerDefinitionQuery->Swift::CustomDebugStringConvertible	ToolKit::ToolKit::TriggerDefinitionQuery->Swift::CustomDebugStringConvertible
296d5f744	_$s7ToolKit22TriggerDefinitionQueryV10identifierAA08CompoundaB14PropertyFilterOySSGvpMV	property descriptor for ToolKit.TriggerDefinitionQuery.identifier : ToolKit.CompoundToolKitPropertyFilter<Swift.String>
296d5f744	$$property_descriptor_for_ToolKit.TriggerDefinitionQuery.identifier_:_ToolKit.CompoundToolKitPropertyFilter<Swift.String>	$$property_descriptor_for_ToolKit.TriggerDefinitionQuery.identifier_:_ToolKit.CompoundToolKitPropertyFilter<Swift.String>
296d5f748	_$s7ToolKit22TriggerDefinitionQueryV10pythonNameAA08CompoundaB14PropertyFilterOySSGvpMV	property descriptor for ToolKit.TriggerDefinitionQuery.pythonName : ToolKit.CompoundToolKitPropertyFilter<Swift.String>
296d5f748	$$property_descriptor_for_ToolKit.TriggerDefinitionQuery.pythonName_:_ToolKit.CompoundToolKitPropertyFilter<Swift.String>	$$property_descriptor_for_ToolKit.TriggerDefinitionQuery.pythonName_:_ToolKit.CompoundToolKitPropertyFilter<Swift.String>
296d5f74c	_$s7ToolKit22TriggerDefinitionQueryV16debugDescriptionSSvpMV	property descriptor for ToolKit.TriggerDefinitionQuery.debugDescription : Swift.String
296d5f74c	$$property_descriptor_for_ToolKit.TriggerDefinitionQuery.debugDescription_:_Swift.String	$$property_descriptor_for_ToolKit.TriggerDefinitionQuery.debugDescription_:_Swift.String
296d63e2c	_$s7ToolKit0A23MetadataProviderRequestO9toolQueryyAcA0a10DefinitionG0V_10Foundation6LocaleVtcACmFWC	enum case for ToolKit.ToolMetadataProviderRequest.toolQuery(ToolKit.ToolMetadataProviderRequest.Type) -> (ToolKit.ToolDefinitionQuery, Foundation.Locale) -> ToolKit.ToolMetadataProviderRequest
296d63e2c	$$enum_case_for_ToolKit.ToolMetadataProviderRequest.toolQuery(ToolKit.ToolMetadataProviderRequest.Type)_->_(ToolKit.ToolDefinitionQuery,Foundation.Locale)_->_ToolKit.ToolMetadataProviderRequest	$$enum_case_for_ToolKit.ToolMetadataProviderRequest.toolQuery(ToolKit.ToolMetadataProviderRequest.Type)_->_(ToolKit.ToolDefinitionQuery,Foundation.Locale)_->_ToolKit.ToolMetadataProviderRequest
296d63e30	_$s7ToolKit0A23MetadataProviderRequestO10toolsQueryyAcA0a10DefinitionG0V_AA0A21DatabaseLocaleOptionsVAA0abiE5ScopeOtcACmFWC	enum case for ToolKit.ToolMetadataProviderRequest.toolsQuery(ToolKit.ToolMetadataProviderRequest.Type) -> (ToolKit.ToolDefinitionQuery, ToolKit.ToolDatabaseLocaleOptions, ToolKit.ToolKitDatabaseRequestScope) -> ToolKit.ToolMetadataProviderRequest
296d63e30	$$enum_case_for_ToolKit.ToolMetadataProviderRequest.toolsQuery(ToolKit.ToolMetadataProviderRequest.Type)_->_(ToolKit.ToolDefinitionQuery,ToolKit.ToolDatabaseLocaleOptions,ToolKit.ToolKitDatabaseRequestScope)_->_ToolKit.ToolMetadataProviderRequest	$$enum_case_for_ToolKit.ToolMetadataProviderRequest.toolsQuery(ToolKit.ToolMetadataProviderRequest.Type)_->_(ToolKit.ToolDefinitionQuery,ToolKit.ToolDatabaseLocaleOptions,ToolKit.ToolKitDatabaseRequestScope)_->_ToolKit.ToolMetadataProviderRequest
296d63e34	_$s7ToolKit0A23MetadataProviderRequestO9toolCountyAcA0A15DefinitionQueryV_AA0A21DatabaseLocaleOptionsVtcACmFWC	enum case for ToolKit.ToolMetadataProviderRequest.toolCount(ToolKit.ToolMetadataProviderRequest.Type) -> (ToolKit.ToolDefinitionQuery, ToolKit.ToolDatabaseLocaleOptions) -> ToolKit.ToolMetadataProviderRequest
296d63e34	$$enum_case_for_ToolKit.ToolMetadataProviderRequest.toolCount(ToolKit.ToolMetadataProviderRequest.Type)_->_(ToolKit.ToolDefinitionQuery,ToolKit.ToolDatabaseLocaleOptions)_->_ToolKit.ToolMetadataProviderRequest	$$enum_case_for_ToolKit.ToolMetadataProviderRequest.toolCount(ToolKit.ToolMetadataProviderRequest.Type)_->_(ToolKit.ToolDefinitionQuery,ToolKit.ToolDatabaseLocaleOptions)_->_ToolKit.ToolMetadataProviderRequest
296d78756	_symbolic_______7ToolKit22TriggerDefinitionQueryV	_symbolic_______7ToolKit22TriggerDefinitionQueryV
296d78792	_symbolic______y_______________G_7ToolKit0aB15DatabaseRequestC_AA22TriggerDefinitionQueryV_AA07FetchedE0V_AA0eF6RecordV	_symbolic______y_______________G_7ToolKit0aB15DatabaseRequestC_AA22TriggerDefinitionQueryV_AA07FetchedE0V_AA0eF6RecordV
296d787aa	_symbolic_______7ToolKit29TriggerDefinitionQueryRequestC	_symbolic_______7ToolKit29TriggerDefinitionQueryRequestC
296d8562c	_$s7ToolKit0A15DefinitionQueryVMn	nominal type descriptor for ToolKit.ToolDefinitionQuery
296d87828	_$s7ToolKit22TriggerDefinitionQueryVMn	nominal type descriptor for ToolKit.TriggerDefinitionQuery
296d87ff4	_$s7ToolKit0A17MetadataProvidingP4tool8matching6localeAA0A10DefinitionVSgAA0aH5QueryV_10Foundation6LocaleVtKFTq	method descriptor for ToolKit.ToolMetadataProviding.tool(matching: ToolKit.ToolDefinitionQuery, locale: Foundation.Locale) throws -> ToolKit.ToolDefinition?
296d87ff4	$$method_descriptor_for_ToolKit.ToolMetadataProviding.tool(matching:_ToolKit.ToolDefinitionQuery,locale:_Foundation.Locale)_throws_->_ToolKit.ToolDefinition?	$$method_descriptor_for_ToolKit.ToolMetadataProviding.tool(matching:_ToolKit.ToolDefinitionQuery,locale:_Foundation.Locale)_throws_->_ToolKit.ToolDefinition?
296d87ffc	_$s7ToolKit0A17MetadataProvidingP5tools8matching6locale5scopeSayAA0A10DefinitionVGAA0aI5QueryV_10Foundation6LocaleVAA0aB20DatabaseRequestScopeOtKFTq	method descriptor for ToolKit.ToolMetadataProviding.tools(matching: ToolKit.ToolDefinitionQuery, locale: Foundation.Locale, scope: ToolKit.ToolKitDatabaseRequestScope) throws -> [ToolKit.ToolDefinition]
296d87ffc	$$method_descriptor_for_ToolKit.ToolMetadataProviding.tools(matching:_ToolKit.ToolDefinitionQuery,locale:_Foundation.Locale,scope:_ToolKit.ToolKitDatabaseRequestScope)_throws_->_[ToolKit.ToolDefinition]	$$method_descriptor_for_ToolKit.ToolMetadataProviding.tools(matching:_ToolKit.ToolDefinitionQuery,locale:_Foundation.Locale,scope:_ToolKit.ToolKitDatabaseRequestScope)_throws_->_[ToolKit.ToolDefinition]
296d88004	_$s7ToolKit0A17MetadataProvidingP5tools8matching13localeOptions5scopeSayAA0A10DefinitionVGAA0aJ5QueryV_AA0a14DatabaseLocaleH0VAA0abL12RequestScopeOtKFTq	method descriptor for ToolKit.ToolMetadataProviding.tools(matching: ToolKit.ToolDefinitionQuery, localeOptions: ToolKit.ToolDatabaseLocaleOptions, scope: ToolKit.ToolKitDatabaseRequestScope) throws -> [ToolKit.ToolDefinition]
296d88004	$$method_descriptor_for_ToolKit.ToolMetadataProviding.tools(matching:_ToolKit.ToolDefinitionQuery,localeOptions:_ToolKit.ToolDatabaseLocaleOptions,scope:_ToolKit.ToolKitDatabaseRequestScope)_throws_->_[ToolKit.ToolDefinition]	$$method_descriptor_for_ToolKit.ToolMetadataProviding.tools(matching:_ToolKit.ToolDefinitionQuery,localeOptions:_ToolKit.ToolDatabaseLocaleOptions,scope:_ToolKit.ToolKitDatabaseRequestScope)_throws_->_[ToolKit.ToolDefinition]
296d8800c	_$s7ToolKit0A17MetadataProvidingP5count4over13localeOptionsSiAA0A15DefinitionQueryV_AA0a14DatabaseLocaleH0VtKFTq	method descriptor for ToolKit.ToolMetadataProviding.count(over: ToolKit.ToolDefinitionQuery, localeOptions: ToolKit.ToolDatabaseLocaleOptions) throws -> Swift.Int
296d8800c	$$method_descriptor_for_ToolKit.ToolMetadataProviding.count(over:_ToolKit.ToolDefinitionQuery,localeOptions:_ToolKit.ToolDatabaseLocaleOptions)_throws_->_Swift.Int	$$method_descriptor_for_ToolKit.ToolMetadataProviding.count(over:_ToolKit.ToolDefinitionQuery,localeOptions:_ToolKit.ToolDatabaseLocaleOptions)_throws_->_Swift.Int
2c709d540	_$s7ToolKit0A15DefinitionQueryVAA0ab8DatabaseD0AAWP	protocol witness table for ToolKit.ToolDefinitionQuery : ToolKit.ToolKitDatabaseQuery in ToolKit
2c709d648	_$s7ToolKit22TriggerDefinitionQueryVAA0ab8DatabaseE0AAWP	protocol witness table for ToolKit.TriggerDefinitionQuery : ToolKit.ToolKitDatabaseQuery in ToolKit
2c88028d0	_$s7ToolKit0A15DefinitionQueryVN	type metadata for ToolKit.ToolDefinitionQuery
2c88085f8	_$s7ToolKit22TriggerDefinitionQueryVN	type metadata for ToolKit.TriggerDefinitionQuery
