29685b8d0	_$s7ToolKit0A8DatabaseC8AccessorC15toolPythonNames8matching6localeSaySSGAA0A15DefinitionQueryV_10Foundation6LocaleVtKFfA0_	default argument 1 of ToolKit.ToolDatabase.Accessor.toolPythonNames(matching: ToolKit.ToolDefinitionQuery, locale: Foundation.Locale) throws -> [Swift.String]
29685b8d4	_$s7ToolKit0A8DatabaseC8AccessorC18triggerPythonNames8matching6localeSaySSGAA22TriggerDefinitionQueryV_10Foundation6LocaleVtKFfA0_	default argument 1 of ToolKit.ToolDatabase.Accessor.triggerPythonNames(matching: ToolKit.TriggerDefinitionQuery, locale: Foundation.Locale) throws -> [Swift.String]
29685b8e4	_$s7ToolKit0A8DatabaseC15toolPythonNames8matching6localeSaySSGAA0A15DefinitionQueryV_10Foundation6LocaleVtKFfA0_	default argument 1 of ToolKit.ToolDatabase.toolPythonNames(matching: ToolKit.ToolDefinitionQuery, locale: Foundation.Locale) throws -> [Swift.String]
296ae1704	_$s7ToolKit0A8DatabaseC4tool8matching6localeAA0A10DefinitionVSgAA0aG5QueryV_10Foundation6LocaleVtKF	ToolKit.ToolDatabase.tool(matching: ToolKit.ToolDefinitionQuery, locale: Foundation.Locale) throws -> ToolKit.ToolDefinition?
296ae6e84	_$s7ToolKit0A8DatabaseC8AccessorC4tool8matching6localeAA0A10DefinitionVSgAA0aH5QueryV_10Foundation6LocaleVtKF	ToolKit.ToolDatabase.Accessor.tool(matching: ToolKit.ToolDefinitionQuery, locale: Foundation.Locale) throws -> ToolKit.ToolDefinition?
296ae6fec	_$s7ToolKit0A8DatabaseC5tools8matching6locale5scopeSayAA0A10DefinitionVGAA0aH5QueryV_10Foundation6LocaleVAA0abC12RequestScopeOtKF	ToolKit.ToolDatabase.tools(matching: ToolKit.ToolDefinitionQuery, locale: Foundation.Locale, scope: ToolKit.ToolKitDatabaseRequestScope) throws -> [ToolKit.ToolDefinition]
296ae702c	_$s7ToolKit0A8DatabaseC8AccessorC5tools8matching6locale5scopeSayAA0A10DefinitionVGAA0aI5QueryV_10Foundation6LocaleVAA0abC12RequestScopeOtKF	ToolKit.ToolDatabase.Accessor.tools(matching: ToolKit.ToolDefinitionQuery, locale: Foundation.Locale, scope: ToolKit.ToolKitDatabaseRequestScope) throws -> [ToolKit.ToolDefinition]
296ae718c	_$s7ToolKit0A8DatabaseC5tools8matching13localeOptions5scopeSayAA0A10DefinitionVGAA0aI5QueryV_AA0ac6LocaleG0VAA0abC12RequestScopeOtKF	ToolKit.ToolDatabase.tools(matching: ToolKit.ToolDefinitionQuery, localeOptions: ToolKit.ToolDatabaseLocaleOptions, scope: ToolKit.ToolKitDatabaseRequestScope) throws -> [ToolKit.ToolDefinition]
296ae72b0	_$s7ToolKit0A8DatabaseC8AccessorC5tools8matching13localeOptions5scopeSayAA0A10DefinitionVGAA0aJ5QueryV_AA0ac6LocaleH0VAA0abC12RequestScopeOtKF	ToolKit.ToolDatabase.Accessor.tools(matching: ToolKit.ToolDefinitionQuery, localeOptions: ToolKit.ToolDatabaseLocaleOptions, scope: ToolKit.ToolKitDatabaseRequestScope) throws -> [ToolKit.ToolDefinition]
296ae7424	_$s7ToolKit0A8DatabaseC5count4over13localeOptionsSiAA0A15DefinitionQueryV_AA0ac6LocaleG0VtKF	ToolKit.ToolDatabase.count(over: ToolKit.ToolDefinitionQuery, localeOptions: ToolKit.ToolDatabaseLocaleOptions) throws -> Swift.Int
296ae74b0	_$s7ToolKit0A8DatabaseC8AccessorC5count4over13localeOptionsSiAA0A15DefinitionQueryV_AA0ac6LocaleH0VtKF	ToolKit.ToolDatabase.Accessor.count(over: ToolKit.ToolDefinitionQuery, localeOptions: ToolKit.ToolDatabaseLocaleOptions) throws -> Swift.Int
296ae766c	_$s7ToolKit0A8DatabaseC5count4overSiAA0A15DefinitionQueryV_tKF	ToolKit.ToolDatabase.count(over: ToolKit.ToolDefinitionQuery) throws -> Swift.Int
296ae771c	_$s7ToolKit0A8DatabaseC8AccessorC5count4overSiAA0A15DefinitionQueryV_tKF	ToolKit.ToolDatabase.Accessor.count(over: ToolKit.ToolDefinitionQuery) throws -> Swift.Int
296ae78d4	_$s7ToolKit0A8DatabaseC7iterate4over5scope13localeOptions5blockyAA0A15DefinitionQueryV_AA0abC12RequestScopeOAA0ac6LocaleH0VyAA0aJ0VKctKF	ToolKit.ToolDatabase.iterate(over: ToolKit.ToolDefinitionQuery, scope: ToolKit.ToolKitDatabaseRequestScope, localeOptions: ToolKit.ToolDatabaseLocaleOptions, block: (ToolKit.ToolDefinition) throws -> ()) throws -> ()
296ae7914	_$s7ToolKit0A8DatabaseC8AccessorC7iterate4over5scope13localeOptions5blockyAA0A15DefinitionQueryV_AA0abC12RequestScopeOAA0ac6LocaleI0VyAA0aK0VKctKF	ToolKit.ToolDatabase.Accessor.iterate(over: ToolKit.ToolDefinitionQuery, scope: ToolKit.ToolKitDatabaseRequestScope, localeOptions: ToolKit.ToolDatabaseLocaleOptions, block: (ToolKit.ToolDefinition) throws -> ()) throws -> ()
296ae7a80	_$s7ToolKit0A8DatabaseC7iterate4over5scope6locale5blockyAA0A15DefinitionQueryV_AA0abC12RequestScopeO10Foundation6LocaleVyAA0aI0VKctKF	ToolKit.ToolDatabase.iterate(over: ToolKit.ToolDefinitionQuery, scope: ToolKit.ToolKitDatabaseRequestScope, locale: Foundation.Locale, block: (ToolKit.ToolDefinition) throws -> ()) throws -> ()
